Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x07_Male","PinHeader_1x07_P2.54mm_Vertical",108.500000,-72.400000,90.000000,top
"U1","TCRT5000","OPTO_TCRT5000",141.200000,-80.600000,90.000000,top
"U2","TCRT5000","OPTO_TCRT5000",128.000000,-80.600000,90.000000,top
"U3","TCRT5000","OPTO_TCRT5000",116.200000,-80.600000,90.000000,top
"U4","TCRT5000","OPTO_TCRT5000",104.400000,-80.600000,90.000000,top
"U5","TCRT5000","OPTO_TCRT5000",91.200000,-80.600000,90.000000,top
